INFO     | 2024-09-25 12:53:37,726 | progress   |       Finished subset 110/551, 19.96 percent done
INFO     | 2024-09-25 12:53:37,809 | progress   |       Finished subset 111/551, 20.15 percent done
INFO     | 2024-09-25 12:53:37,891 | progress   |       Finished subset 112/551, 20.33 percent done
INFO     | 2024-09-25 12:53:38,195 | progress   |       Finished subset 113/551, 20.51 percent done
INFO     | 2024-09-25 12:53:38,330 | progress   |       Finished subset 114/551, 20.69 percent done
INFO     | 2024-09-25 12:53:38,422 | progress   |       Finished subset 115/551, 20.87 percent done
INFO     | 2024-09-25 12:53:38,451 | progress   |       Finished subset 116/551, 21.05 percent done
INFO     | 2024-09-25 12:53:38,546 | progress   |       Finished subset 117/551, 21.23 percent done
INFO     | 2024-09-25 12:53:38,644 | progress   |       Finished subset 118/551, 21.42 percent done
INFO     | 2024-09-25 12:53:38,732 | progress   |       Finished subset 119/551, 21.60 percent done
INFO     | 2024-09-25 12:53:38,808 | progress   |       Finished subset 120/551, 21.78 percent done
INFO     | 2024-09-25 12:53:38,908 | progress   |       Finished subset 121/551, 21.96 percent done
INFO     | 2024-09-25 12:53:39,005 | progress   |       Finished subset 122/551, 22.14 percent done
INFO     | 2024-09-25 12:53:39,111 | progress   |       Finished subset 123/551, 22.32 percent done
INFO     | 2024-09-25 12:53:39,192 | progress   |       Finished subset 124/551, 22.50 percent done
INFO     | 2024-09-25 12:53:39,342 | progress   |       Finished subset 125/551, 22.69 percent done
INFO     | 2024-09-25 12:53:39,433 | progress   |       Finished subset 126/551, 22.87 percent done
INFO     | 2024-09-25 12:53:39,460 | progress   |       Finished subset 127/551, 23.05 percent done
INFO     | 2024-09-25 12:53:39,540 | progress   |       Finished subset 128/551, 23.23 percent done
INFO     | 2024-09-25 12:53:39,622 | progress   |       Finished subset 129/551, 23.41 percent done
INFO     | 2024-09-25 12:53:39,722 | progress   |       Finished subset 130/551, 23.59 percent done
INFO     | 2024-09-25 12:53:39,824 | progress   |       Finished subset 131/551, 23.77 percent done
INFO     | 2024-09-25 12:53:39,901 | progress   |       Finished subset 132/551, 23.96 percent done
INFO     | 2024-09-25 12:53:40,001 | progress   |       Finished subset 133/551, 24.14 percent done
INFO     | 2024-09-25 12:53:40,104 | progress   |       Finished subset 134/551, 24.32 percent done
INFO     | 2024-09-25 12:53:40,207 | progress   |       Finished subset 135/551, 24.50 percent done
INFO     | 2024-09-25 12:53:40,306 | progress   |       Finished subset 136/551, 24.68 percent done
INFO     | 2024-09-25 12:53:40,432 | progress   |       Finished subset 137/551, 24.86 percent done
INFO     | 2024-09-25 12:53:40,516 | progress   |       Finished subset 138/551, 25.05 percent done
INFO     | 2024-09-25 12:53:40,618 | progress   |       Finished subset 139/551, 25.23 percent done
INFO     | 2024-09-25 12:53:40,726 | progress   |       Finished subset 140/551, 25.41 percent done
